category,diagnosis,support,predicted,true_positive
garbage_collection_point,"有 GT，全部错",344,4,0
open_storage_construction,"有 GT，全部错",341,2,0
suspected_fire_smoke,"有 GT，全部错",163,0,0
water_discoloration,"有 GT，全部错",88,0,0
river_construction,"有 GT，全部错",56,1,0
collapsed_house_wall,"有 GT，全部错",50,0,0
abandoned_building,"有 GT，全部错",19,8,0
burning_marks_grass,"有 GT，全部错",18,7,0
street_vendor_vehicle,"有 GT，全部错",13,0,0
street_vendor_canopy,"有 GT，全部错",12,2,0
building_materials_factory,"有 GT，全部错",11,144,0
open_storage_residential,"有 GT，全部错",11,0,0
street_vendor,"有 GT，全部错",7,7,0
outdoor_business,"有 GT，全部错",5,0,0
unclean_water_surface,"有 GT，全部错",5,97,0
hillside_excavation,"有 GT，全部错",4,1,0
muck_truck,"有 GT，全部错",4,0,0
swimmer,"有 GT，全部错",4,9,0
fire_lane_obstruction,"有 GT，全部错",3,2,0
incomplete_soil_cover,"有 GT，全部错",3,0,0
landscaping_construction,"有 GT，全部错",3,21,0
black_odorous_water,"有 GT，全部错",1,92,0
landslide_risk,"有 GT，全部错",1,5,0
muck_truck_covered,"有 GT，全部错",1,23,0
road_occupying_pile,"有 GT，全部错",1,9,0
shoreline_structure,"有 GT，全部错",1,76,0
blue_tarp_shed,"无 GT，仅误报",0,962,0
disorderly_materials,"无 GT，仅误报",0,298,0
construction_vehicle,"无 GT，仅误报",0,251,0
construction_site_pile,"无 GT，仅误报",0,220,0
building_damage,"无 GT，仅误报",0,69,0
banner,"无 GT，仅误报",0,58,0
excavator,"无 GT，仅误报",0,48,0
land_use_change,"无 GT，仅误报",0,32,0
grain_drying_road,"无 GT，仅误报",0,22,0
messy_green_space,"无 GT，仅误报",0,17,0
piled_materials_factory,"无 GT，仅误报",0,17,0
embankment_structure,"无 GT，仅误报",0,15,0
straw_burning,"无 GT，仅误报",0,13,0
accumulated_building_material,"无 GT，仅误报",0,10,0
balloon_banner,"无 GT，仅误报",0,4,0
